OBJECTID,FeatureType,Region,Orientation,Type,Boulder,OddShape,Shape_Length
222,,1,156.9868363,I,,,1.632839773
223,,1,150.5745914,I,,,0.381736912
224,,1,144.3336389,U,,,0.947299378
225,,1,4.766972662,U,,,0.463645147
226,,1,345.6994839,U,,,0.377443761
227,,1,0.011779539,U,,,0.30313228
228,,1,345.0739663,U,,,0.545833599
229,,1,358.0887968,U,,,0.280286793
230,,1,341.3989887,I,,,0.587508457
231,,1,319.5254438,I,,,0.835543548
232,,1,281.9670081,U,,,0.420029242
233,,1,274.9656056,P,,,0.94245555
234,,1,303.1887288,U,,,0.427676693
235,,1,288.9530801,I,,,0.543484871
236,,1,311.7641424,I,,,0.373564451
237,,1,270,I,,,3.777628785
238,,1,280.4246228,P,,,0.883280108
239,,1,205.6232209,O,,,0.683715133
240,,1,218.8484897,I,,,0.348335078
241,,1,200.5786569,O,,,0.730792986
242,,1,283.3508248,U,,,0.959971534
243,,1,333.2844273,I,,,1.088789121
244,,1,20.70660957,O,,,0.987799904
245,,1,277.442962,T,,,2.012296785
246,,1,281.8684382,O,,,0.550479
247,,1,265.4384737,P,,,1.024771933
248,,1,267.3588697,P,,,1.516195219
249,,1,296.5267248,P,,,0.693639314
250,,1,276.0893694,P,,,1.123135443
251,,1,11.89958525,U,,,0.918838236
252,,1,326.9308892,I,,,1.324444112
253,,1,337.0212607,I,,,1.635916797
254,,1,325.5938455,O,,,0.497963448
255,,1,306.073015,I,,,0.510491781
256,,1,306.748406,I,,,0.866854589
257,,1,270,U,,,0.933774554
258,,1,112.8485162,O,,,1.670854117
259,,1,162.6467181,I,,,1.436811269
260,,1,306.0805391,U,,,0.498412169
261,,1,150.2176937,I,,,0.304098569
262,,1,289.8624847,U,,,0.677064746
263,,1,100.4379785,I,,,0.246751233
264,,1,152.3901223,I,,,0.406889879
265,,1,275.3931453,I,,,0.488018288
267,,1,270,P,,,2.284287161
268,,1,204.5285978,I,,,1.734000425
269,,1,276.1686047,U,,,0.26863956
270,,1,210.1662382,U,,,0.596131288
271,,1,274.273797,I,,,1.978474699
272,,1,206.4635659,O,,,0.641526282
273,,1,209.4642537,O,,,0.917575376
274,,1,208.6141832,I,,,0.483078107
275,,1,209.8918011,I,,,1.297513654
276,,1,177.4002513,P,,,1.364779314
277,,1,131.0974233,I,,,0.922083757
278,,1,304.3196009,U,,,0.428737222
279,,1,272.9969754,U,,,1.528195586
280,,1,327.3464042,I,,,1.371200966
281,,1,90.43268558,O,,,0.370394603
282,,1,274.5950279,I,,,0.475192257
283,,1,114.7874643,P,,,0.613136505
284,,1,331.1067334,P,,,0.464154145
285,,1,96.68465686,L,,,3.819523011
286,,1,277.3446761,P,,,5.109335074
287,,1,132.5227909,O,,,0.606614134
288,,1,116.5624878,O,,,0.705659846
289,,1,273.3545756,I,,,1.117827092
290,,1,96.4782404,O,,,1.175068057
291,,1,267.9007335,O,,,1.693250463
292,,1,90.04690122,U,,,0.504194926
293,,1,139.9020255,U,,,0.429773589
294,,1,332.1926989,I,,,0.265551169
295,,1,325.9020912,I,,,1.622855071
296,,1,97.70812248,U,,,0.310983929
297,,1,272.5727562,U,,,0.303279826
298,,1,38.75407444,O,,,0.679587584
299,,1,210.1728696,O,,,0.575217684
300,,1,207.1259787,I,,,0.887565312
301,,1,198.7366224,I,,,1.086150424
302,,1,269.508533,U,,,0.990875739
303,,1,261.5425991,U,,,0.507396245
304,,1,95.45486516,U,,,0.887582798
305,,1,279.987532,I,,,0.416806454
306,,1,92.32108957,O,,,0.975765421
307,,1,18.67367986,I,,,1.208480892
308,,1,153.8973716,I,,,0.393909185
309,,1,117.6593143,I,,,0.450682013
310,,1,3.31836328,I,,,1.022391736
311,,1,324.2613556,I,,,0.788562838
312,,1,132.8046556,I,,,0.712083227
313,,1,129.1401091,I,,,0.85995951
314,,1,353.6109049,I,,,1.628327118
315,,1,266.3751689,O,,,1.611950601
316,,1,270.0142835,O,,,0.937731521
317,,1,336.4958587,U,,,0.490926495
318,,1,273.7740927,O,,,0.982857647
319,,1,90.70251937,O,,,1.200087045
320,,1,301.3126833,I,,,0.485330361
321,,1,273.3626791,U,,,1.437946574
322,,1,146.3286968,I,,Y,1.20126353
323,,1,212.2608609,O,,,0.649322961
324,,1,18.76377055,I,,,1.173717492
325,,1,27.13503491,O,,,1.607304102
326,,1,206.5882361,O,,,0.508398658
327,,1,202.5956615,O,,,0.861301845
328,,1,35.87495915,T,,,0.591419464
329,,1,35.04549605,O,,,0.97885083
330,,1,25.40272805,O,,,1.052597891
331,,1,209.8196808,O,,,1.061382091
332,,1,272.0973403,U,,,0.338383012
333,,1,268.3345461,O,,,1.229482467
334,,1,311.4353661,I,,,0.659500813
335,,1,313.6512024,U,,,0.413726305
336,,1,29.12498474,O,,,0.491514367
337,,1,220.8152127,U,,,0.449284947
338,,1,219.2915348,O,,,0.528361495
339,,1,8.860446988,U,,,0.376658381
340,,1,287.2242011,I,,,0.26585255
341,,1,275.3438045,U,,,1.196966288
342,,1,277.1554694,U,,,0.848329441
343,,1,313.6961126,T,,,1.18348539
344,,1,100.6167347,U,,,1.76736719
345,,1,271.5001869,U,,,0.640712087
346,,1,279.5489821,U,,,0.759504072
347,,1,124.3289511,I,,,0.94350609
348,,1,156.119033,I,,,0.777760894
349,,1,132.708341,U,,,1.714598094
350,,1,222.1247599,I,,,0.525531003
351,,1,217.514369,O,,,0.78488397
352,,1,270,O,,,0.7431269
353,,1,282.2242938,I,,,0.521374363
354,,1,273.3706133,I,,,0.553185456
355,,1,275.921008,I,,,0.41809076
356,,1,329.3462422,I,,,0.641608215
357,,1,277.2617293,I,,,0.566906406
358,,1,138.3018642,I,,,0.605720122
359,,1,131.0169,I,,,0.635678192
360,,1,265.9140639,I,,,0.40653594
361,,1,121.6800227,U,,,1.175134917
362,,1,169.7145298,U,,,0.837391429
363,,1,123.2368234,I,,,0.75399333
364,,1,94.59471455,U,,,1.947218885
365,,1,267.8805444,U,,,0.804415299
366,,1,120.4108292,U,,,0.537429989
367,,1,275.1603375,U,,,3.428139325
368,,1,94.61647675,O,,,1.951702678
369,,1,296.5576083,P,,,1.557080784
370,,1,15.89879802,O,,,0.671884339
371,,1,201.2716536,O,,,0.355501581
372,,1,199.0303,O,,,1.009130954
373,,1,17.29130275,O,,,0.446909509
374,,1,183.968389,O,,,0.71762317
375,,1,207.2707912,O,,,0.498868662
376,,1,278.1328428,U,,,0.882680629
377,,1,133.640625,I,,,0.237350707
378,,1,113.1530113,I,,,0.649354617
379,,1,117.5279856,I,,,1.064283079
380,,1,143.6830417,U,,,0.794786417
381,,1,320.8843755,I,,,0.554079835
382,,1,189.5966111,I,,,0.235240623
383,,1,326.424616,I,,YC,3.654875707
384,,1,160.8948425,I,,,0.929540446
385,,1,123.4957651,I,,,0.491004074
386,,1,141.2691589,I,,,0.665182972
387,,1,273.604464,O,,,2.734625113
388,,1,299.5239381,U,,,0.453924732
389,,1,312.8518107,I,,,0.173757126
390,,1,322.5120038,I,,,0.259583998
391,,1,322.2102018,O,,,0.514278963
392,,1,304.9973287,U,,,0.335747802
393,,1,324.5867897,I,,,0.675949691
394,,1,333.9785496,I,,,0.399630583
395,,1,317.2156604,U,,,0.596032676
396,,1,323.8345745,U,,,0.543863675
397,,1,91.22616528,I,,,0.913344892
398,,1,284.2276802,I,,,0.589194317
399,,1,137.5562088,I,,,3.126512346
400,,1,303.2311074,I,,,0.514640904
401,,1,134.7734374,U,,,0.427216706
402,,1,274.6726864,U,,,1.245363988
404,,1,289.8578942,P,,,4.095376731
405,,1,302.0617689,O,,,0.867052435
406,,1,270,U,,,1.858813158
407,,1,349.1347209,O,,,0.766631492
408,,1,287.1853408,U,,,5.22705161
409,,1,277.2410375,T,,,0.606211537
410,,1,277.4610464,T,,,0.912705759
411,,1,339.1903076,U,,,0.567436201
412,,1,353.6078301,U,,,0.481689806
413,,1,318.8803667,U,,,0.331012478
414,,1,272.1642523,U,,,1.312600903
415,,1,276.9919006,U,,,3.404048114
416,,1,276.8271906,T,,,0.993524005
417,,1,304.2875724,T,,,0.395474283
418,,1,324.8034354,O,,,0.380727431
419,,1,297.2883145,T,,,1.218194533
420,,1,184.5809183,U,,,0.323907425
421,,1,319.8981317,U,,,0.856025307
